Nouns,Plural,Masculine
مُسْلِمُون,1,1
مُسْلِمَات,1,0
مُسْلِم,0,1
مُسْلِمَة,0,0
خَاشِعُون,1,1
خَاشِعَات,1,0
خَاشِع,0,1
خَاشِعَة,0,0
مُؤْمِنُون,1,1
مُؤْمِنَات,1,0
مُؤْمِن,0,1
مُؤْمِنَة,0,0
قَانِتُون,1,1
قَانِتَات,1,0
قَانِت,0,1
قَانِتَة,0,0
صَادِقُون,1,1
صَادِقَات,1,0
صَادِق,0,1
صَادِقَة,0,0
مُتَصَدِّقُون,1,1
مُتَصَدِّقَات,1,0
مُتَصَدِّق,0,1
مُتَصَدِّقَة,0,0
صَائِمُون,1,1
صَائِمَات,1,0
صَائِم,0,1
صَائِمَة,0,0
حَافِظُون,1,1
حَافِظَات,1,0
حَافِظ,0,1
حَافِظَة,0,0
ذَاكِرُون,1,1
ذَاكِرَات,1,0
ذَاكِر,0,1
ذَاكِرَة,0,0
كَاتِبُون,1,1
كَاتِبَات,1,0
كَاتِب,0,1
كَاتِبَة,0,0
مُحَارِبُون,1,1
مُحَارِبَات,1,0
مُحَارِب,0,1
مُحَارِبَة,0,0
آكِلُون,1,1
آكِلَات,1,0
آكِل,0,1
آكِلَة,0,0
شَارِبُون,1,1
شَارِبَات,1,0
شَارِب,0,1
شَارِبَة,0,0
نَائِمُون,1,1
نَائِمَات,1,0
نَائِم,0,1
نَائِمَة,0,0
خَاسِرُون,1,1
خَاسِرَات,1,0
خَاسِر,0,1
خَاسِرَة,0,0
كَاذِبُون,1,1
كَاذِبَات,1,0
كَاذِب,0,1
كَاذِبَة,0,0
عَائِدُون,1,1
عَائِدَات,1,0
عَائِد,0,1
عَائِدَة,0,0
فَاعِلُون,1,1
فَاعِلَات,1,0
فَاعِل,0,1
فَاعِلَة,0,0
سَاحِبُون,1,1
سَاحِبَات,1,0
سَاحِب,0,1
سَاحِبَة,0,0
عَابِدُون,1,1
عَابِدَات,1,0
عَابِد,0,1
عَابِدَة,0,0
جَالِسُون,1,1
جَالِسَات,1,0
جَالِس,0,1
جَالِسَة,0,0
مَائِلُون,1,1
مَائِلَات,1,0
مَائِل,0,1
مَائِلَة,0,0
عَائِمُون,1,1
عَائِمَات,1,0
عَائِم,0,1
عَائِمَة,0,0
غَاضِبُون,1,1
غَاضِبَات,1,0
غَاضِب,0,1
غَاضِبَة,0,0
لَاعِبُون,1,1
لَاعِبَات,1,0
لَاعِب,0,1
لَاعِبَة,0,0
